"analysis","scaling"
"allwalls",0.261447640889295
"allwalls",0.224252373098242
"allwalls",0.257691194708125
"allwalls",0.306052011109301
"allwalls",0.286940251321492
"allwalls",0.336752193998268
"allwalls",0.300029721554236
"allwalls",0.257232047810103
"allwalls",0.290261899435041
"allwalls",0.290015950994756
"allwalls",0.339546785863318
"allwalls",0.337163656927897
"allwalls",0.333360746780866
"allwalls",0.362143252890769
"allwalls",0.28329037257989
"allwalls",0.480840190575149
"allwalls",0.363509515578135
"allwalls",0.287726443964569
"allwalls",0.291626321204064
"allwalls",0.279069971095077
"allwalls",0.363997301151342
"allwalls",0.280773902359576
"allwalls",0.233944850518851
"allwalls",0.323952618599145
"allwalls",0.37524502683401
"allwalls",0.331291250679245
"allwalls",0.32044148999775
"allwalls",0.297916660875429
"allwalls",0.311358816438142
"allwalls",0.218740139637592
"allwalls",0.226693619601355
"allwalls",0.247753348721128
"allwalls",0.233910050295073
"allwalls",0.267407108212131
"allwalls",0.248506989835689
"allwalls",0.31238153890228
"allwalls",0.341345240581506
"allwalls",0.285491222971545
"allwalls",0.251754082325387
"allwalls",0.272062718370177
"allwalls",0.253274683559639
"allwalls",0.311740609939378
"allwalls",0.313108487581882
"allwalls",0.273129439719712
"allwalls",0.270962855109529
"allwalls",0.265522640253177
"allwalls",0.231567853799137
"allwalls",0.269762380127693
"allwalls",0.275309074279235
"allwalls",0.291963365378903
"allwalls",0.307336671754678
"allwalls",0.290699757656465
"allwalls",0.234224891488597
"allwalls",0.255930401079938
"allwalls",0.257968652160767
"allwalls",0.291539056908939
"allwalls",0.30984461839027
"allwalls",0.339394022986622
"allwalls",0.343283823225026
"allwalls",0.36220529426105
"allwalls",0.318359371558747
"allwalls",0.310319930713254
"allwalls",0.241056361010304
"allwalls",0.354958760414426
"allwalls",0.342396293163286
"allwalls",0.299206401449165
"allwalls",0.272556310623876
"allwalls",0.29123880543292
"allwalls",0.356519049521241
"allwalls",0.362872963310222
"allwalls",0.298925378134459
"allwalls",0.310189104373804
"allwalls",0.462811844670814
"allwalls",0.334376397963224
"allwalls",0.310134695119236
"allwalls",0.347360808205166
"allwalls",0.264522755957095
"allwalls",0.332571786771354
"allwalls",0.36903998314804
"allwalls",0.312865479226743
"allwalls",0.248696065617635
"allwalls",0.252898697528674
"allwalls",0.3457775037019
"allwalls",0.370445525843945
"allwalls",0.288466465708351
"allwalls",0.27711655129188
"allwalls",0.209218021744949
"allwalls",0.313408776798676
"allwalls",0.190168957993465
"allwalls",0.264708971011498
"allwalls",0.251164162398815
"allwalls",0.268652889979253
"allwalls",0.268533031492015
"allwalls",0.242071224711954
"allwalls",0.256629766037159
"allwalls",0.281390561553772
"allwalls",0.216566796599339
"allwalls",0.269768265116216
"allwalls",0.311974599409861
"allwalls",0.318144346396109
"allwalls",0.244201125982031
"allwalls",0.228900677885602
"allwalls",0.313896270472972
"allwalls",0.242601459697776
"allwalls",0.217985467989099
"allwalls",0.257239208682881
"allwalls",0.259133810607862
"allwalls",0.261824945633432
"allwalls",0.188365073287873
"allwalls",0.229348450160417
"allwalls",0.256770896110925
"allwalls",0.236390102834854
"allwalls",0.274520720038341
"allwalls",0.27963879408823
"allwalls",0.276823682343646
"allwalls",0.248249373161497
"allwalls",0.255331472552367
"allwalls",0.335549945657
"allwalls",0.259106085282159
"allwalls",0.301976677931096
"allwalls",0.3288143986528
"allwalls",0.304715592690694
"allwalls",0.311265195105043
"allwalls",0.308126884237459
"allwalls",0.27947135059509
"allwalls",0.30084255003119
"allwalls",0.237582428812569
"allwalls",0.263401589407101
"allwalls",0.269755923803308
