"modelname","modeltype","lppd"
"allmonuments","power_law",-2.71105862592847
"allmonuments","power_law",-2.87950190957966
"allmonuments","power_law",-3.15480569768817
"allmonuments","power_law",-5.47454208382572
"allmonuments","power_law",-2.86603976602479
"allmonuments","power_law",-3.34481229811174
"allmonuments","power_law",-2.94919637088925
"allmonuments","power_law",-3.17929351792108
"allmonuments","power_law",-3.51152976754559
"allmonuments","power_law",-2.48778494747335
"allmonuments","power_law",-2.9932986567021
"allmonuments","power_law",-2.51292998559583
"allmonuments","power_law",-2.35321468453067
"allmonuments","power_law",-2.45272946169356
"allmonuments","power_law",-5.08620774650308
"allmonuments","power_law",-2.30024566125693
"allmonuments","power_law",-2.67706837665114
"allmonuments","power_law",-4.12540066425254
"allmonuments","power_law",-2.78038888125936
"allmonuments","power_law",-3.60234454818129
"allmonuments","power_law",-2.47362847056246
"allmonuments","power_law",-1.74389878787711
"allmonuments","power_law",-2.03284356049835
"allmonuments","power_law",-4.18008849321046
"allmonuments","power_law",-1.82168278536028
"allmonuments","power_law",-2.47237220491161
"allmonuments","power_law",-3.10663067204809
"allmonuments","power_law",-2.47640584371278
"allmonuments","power_law",-2.54614190303012
"allmonuments","power_law",-2.27533036132336
"allmonuments","power_law",-1.75487136280454
"allmonuments","power_law",-2.60383957455683
"allmonuments","power_law",-3.04799702354718
"allmonuments","power_law",-3.09960190989642
"allmonuments","power_law",-2.4871645008256
"allmonuments","power_law",-2.21626936046163
"allmonuments","power_law",-2.20730638093628
"allmonuments","power_law",-3.84102354474185
"allmonuments","power_law",-2.86207544789683
"allmonuments","power_law",-2.92998802643308
"allmonuments","power_law",-2.93618567695863
"allmonuments","power_law",-2.67795179275918
"allmonuments","power_law",-2.25276258320427
"allmonuments","power_law",-2.0789948012378
"allmonuments","power_law",-2.70368094082196
"allmonuments","power_law",-2.77527915899233
"allmonuments","power_law",-2.62608214208021
"allmonuments","power_law",-2.77941365198014
"allmonuments","power_law",-2.46773933759396
"allmonuments","power_law",-2.02069156380893
"allmonuments","power_law",-2.87659769242597
"allmonuments","power_law",-3.16006723406355
"allmonuments","power_law",-2.37423279648077
"allmonuments","power_law",-2.78507641453285
"allmonuments","power_law",-2.67832442094744
"allmonuments","power_law",-2.03008044820352
"allmonuments","power_law",-2.96800498341121
"allmonuments","power_law",-2.60824754988059
"allmonuments","power_law",-3.39447656886948
"allmonuments","power_law",-3.06359198526583
"allmonuments","power_law",-3.13733614067979
"allmonuments","power_law",-2.92718939779508
"allmonuments","power_law",-2.74238528126432
"allmonuments","power_law",-2.78787813805945
"allmonuments","power_law",-3.61575133296871
"allmonuments","power_law",-2.38777403870345
"allmonuments","power_law",-2.47977783145356
"allmonuments","power_law",-3.13515721309485
"allmonuments","power_law",-2.77523138493454
"allmonuments","power_law",-2.59464192209262
"allmonuments","power_law",-3.45684402799307
"allmonuments","power_law",-2.55697980462378
"allmonuments","power_law",-2.66729682685308
"allmonuments","power_law",-2.47588988297583
"allmonuments","power_law",-2.68495244421654
"allmonuments","power_law",-3.16844603313606
"allmonuments","power_law",-2.44083042469794
"allmonuments","power_law",-3.29083585641309
"allmonuments","power_law",-2.78518256871434
"allmonuments","power_law",-3.20795528945659
"allmonuments","power_law",-2.99780279306391
"allmonuments","power_law",-2.90318897468622
"allmonuments","power_law",-2.51021750456053
"allmonuments","power_law",-2.7224312727317
"allmonuments","power_law",-2.77918046223522
"allmonuments","power_law",-3.08774406342684
"allmonuments","power_law",-2.78912977480653
"allmonuments","power_law",-2.69993662192694
"allmonuments","power_law",-2.73533911439585
"allmonuments","power_law",-5.07928340390993
"allmonuments","power_law",-3.93783146273621
"allmonuments","power_law",-3.00623617322078
"allmonuments","power_law",-2.61057830809077
"allmonuments","power_law",-2.4250891586068
"allmonuments","power_law",-3.04650227282053
"allmonuments","power_law",-2.34992664901558
"allmonuments","power_law",-2.68545522208725
"allmonuments","power_law",-2.23085607182171
"allmonuments","power_law",-3.07900394366171
"allmonuments","power_law",-1.97805128358317
"allmonuments","power_law",-2.3299981606354
"allmonuments","power_law",-2.35537356944226
"allmonuments","power_law",-2.63692712091092
"allmonuments","power_law",-2.6090747998178
"allmonuments","power_law",-5.24956908789742
"allmonuments","power_law",-2.00078741468069
"allmonuments","power_law",-2.73337570056551
"allmonuments","power_law",-2.38434531262946
"allmonuments","power_law",-1.67327245164245
"allmonuments","power_law",-2.54536000833934
"allmonuments","power_law",-2.80050781029499
"allmonuments","power_law",-2.93978905994333
"allmonuments","power_law",-2.10070745546764
"allmonuments","power_law",-2.26319148041539
"allmonuments","power_law",-2.67943084455517
"allmonuments","power_law",-3.55955637135905
"allmonuments","power_law",-2.3560618998657
"allmonuments","power_law",-2.01636317614379
"allmonuments","power_law",-1.79621292865628
"allmonuments","power_law",-2.58613436127202
"allmonuments","power_law",-3.39258750549051
"allmonuments","power_law",-2.59254260820872
"allmonuments","power_law",-2.59842379736051
"allmonuments","power_law",-2.97047725396165
"allmonuments","power_law",-2.98445089999519
"allmonuments","power_law",-2.68146792409489
"allmonuments","power_law",-2.20646613587874
"allmonuments","power_law",-2.61969110795719
"allmonuments","power_law",-3.02408001886955
"allmonuments","power_law",-3.01238185355813
"allmonuments","power_law",-3.26710638969836
"allmonuments","power_law",-1.9028428772892
"allmonuments","power_law",-2.35421642925165
"allmonuments","power_law",-3.01846608263747
"allmonuments","power_law",-2.49886943083073
"allmonuments","power_law",-2.73978591615783
"allmonuments","power_law",-3.34686861306301
"allmonuments","power_law",-2.63136894772102
"allmonuments","power_law",-2.42992355047909
"allmonuments","power_law",-3.19628691590431
"allmonuments","power_law",-1.56755387808737
"allmonuments","power_law",-2.79164915863476
"allmonuments","power_law",-3.40502397790206
"allmonuments","power_law",-3.2254335261137
"allmonuments","power_law",-2.43256158096937
"allmonuments","power_law",-2.15760582615615
"allmonuments","power_law",-2.59222904828502
"allmonuments","power_law",-2.21468340320179
"allmonuments","power_law",-2.0323220921799
"allmonuments","power_law",-2.05010518789706
"allmonuments","power_law",-2.65700944140677
"allmonuments","power_law",-2.74908346553719
"allmonuments","power_law",-2.38348811991749
"allmonuments","power_law",-3.03019341824865
