"","lower","upper","mean","stdd"
"b0",3.39,5.97,4.67,0.65
"b1",0.75,1.42,1.08,0.17
"intercept",-1.62,-0.27,-0.92,0.35
"scaling",0.11,0.27,0.19,0.04
"sigma",0.61,0.71,0.66,0.02
"sigma_pop",0.62,1.06,0.82,0.12
