"chain","model","parameter","z"
2,"allwalls","intercept[12]",-0.14578004957172
2,"allwalls","intercept[13]",0.0192690354789972
2,"allwalls","intercept[14]",-0.213079732111212
2,"allwalls","intercept[15]",-0.248952843259616
2,"allwalls","intercept[16]",-0.0873090259391767
2,"allwalls","intercept[17]",-0.122832712823593
2,"allwalls","intercept[18]",-0.253088021592708
2,"allwalls","intercept[19]",0.079912208697511
2,"allwalls","intercept[20]",-0.0976523319462002
2,"allwalls","intercept[21]",-0.151589135966168
2,"allwalls","intercept[22]",-0.191428215671594
2,"allwalls","intercept[23]",0.0383070767140589
2,"allwalls","intercept[24]",-0.143775157473304
2,"allwalls","intercept[25]",-0.0489543904783647
2,"allwalls","intercept[26]",0.00703120783763578
2,"allwalls","intercept[27]",-0.114528667021512
2,"allwalls","intercept[28]",0.00934571916523921
2,"allwalls","intercept[29]",-0.118898336188649
2,"allwalls","intercept[30]",-0.180625076484949
2,"allwalls","intercept[31]",-0.0434227223671119
2,"allwalls","intercept[32]",-0.0191533591289145
2,"allwalls","intercept[33]",-0.103542978059789
2,"allwalls","intercept[34]",-0.0466163008448075
2,"allwalls","intercept[35]",0.157547506342051
2,"allwalls","intercept[36]",-0.036259652526397
2,"allwalls","intercept[37]",-0.0215435483550364
2,"allwalls","intercept[38]",-0.0454952343645299
2,"allwalls","intercept[39]",-0.146629290718864
2,"allwalls","intercept[40]",-0.166321481209306
2,"allwalls","intercept[41]",-0.051962756650916
2,"allwalls","intercept[42]",0.320052324730469
2,"allwalls","intercept[43]",-0.114594835615729
2,"allwalls","intercept[44]",-0.123669336896993
2,"allwalls","intercept[45]",-0.131879577210116
2,"allwalls","intercept[46]",-0.107386626519446
2,"allwalls","intercept[47]",-0.0830858370975245
2,"allwalls","intercept[48]",-0.118513996809912
2,"allwalls","intercept[49]",-0.126788444590825
2,"allwalls","intercept0",-0.116726336075054
2,"allwalls","scaling[1]",0.0194618657203625
2,"allwalls","scaling[2]",0.191240743384309
2,"allwalls","scaling[3]",0.21868983737854
2,"allwalls","scaling[4]",0.0986047552339441
2,"allwalls","scaling[5]",0.0254001003203502
2,"allwalls","scaling[6]",0.169350780731394
2,"allwalls","scaling[7]",0.224952561005854
2,"allwalls","scaling[8]",0.175516195738715
2,"allwalls","scaling[9]",0.152942863252432
2,"allwalls","scaling[10]",0.131012653434378
2,"allwalls","scaling[11]",0.138309523899149
2,"allwalls","scaling[12]",0.163673947313334
2,"allwalls","scaling[13]",0.0390062398529001
2,"allwalls","scaling[14]",0.172890696997446
2,"allwalls","scaling[15]",0.297150788800592
2,"allwalls","scaling[16]",0.211498925139786
2,"allwalls","scaling[17]",0.287742555210788
2,"allwalls","scaling[18]",0.244753074590332
2,"allwalls","scaling[19]",-0.0524817688431129
2,"allwalls","scaling[20]",0.230686175475356
2,"allwalls","scaling[21]",0.15803397862046
2,"allwalls","scaling[22]",0.270474481612697
2,"allwalls","scaling[23]",0.0535042775542238
2,"allwalls","scaling[24]",0.255912989904093
2,"allwalls","scaling[25]",0.105539500029313
2,"allwalls","scaling[26]",0.162324904173047
2,"allwalls","scaling[27]",0.274839275824887
2,"allwalls","scaling[28]",0.143777071053053
2,"allwalls","scaling[29]",0.195156632078509
2,"allwalls","scaling[30]",0.27181423740333
2,"allwalls","scaling[31]",0.129178170567361
2,"allwalls","scaling[32]",0.181617611977521
2,"allwalls","scaling[33]",0.232785978282425
2,"allwalls","scaling[34]",0.106026868475016
2,"allwalls","scaling[35]",-0.116535375168883
2,"allwalls","scaling[36]",0.188219120063471
2,"allwalls","scaling[37]",0.168132508525668
2,"allwalls","scaling[38]",0.0466739176393992
2,"allwalls","scaling[39]",0.177490507624579
2,"allwalls","scaling[40]",0.264757662523455
2,"allwalls","scaling[41]",0.297411429145304
2,"allwalls","scaling[42]",-0.204849498915381
2,"allwalls","scaling[43]",0.222465445955008
2,"allwalls","scaling[44]",0.211248449528711
2,"allwalls","scaling[45]",0.119416048036708
2,"allwalls","scaling[46]",0.235654801802998
2,"allwalls","scaling[47]",0.211341089058288
2,"allwalls","scaling[48]",0.100917466667494
2,"allwalls","scaling[49]",0.234925714849258
2,"allwalls","scaling0",0.140589840800259
2,"allwalls","sd0",1.59214027079043
2,"allwalls","sd1",-1.78720020164353
2,"allwalls","sigma_pop",0.850207823335224
