"chain","model","parameter","z"
1,"filtmonuments","size",0.58559045358026
2,"filtmonuments","b0",-0.972189883324057
2,"filtmonuments","b1",0.842065803013668
2,"filtmonuments","intercept[1]",0.641745199764619
2,"filtmonuments","intercept[2]",0.670516927359621
2,"filtmonuments","intercept[3]",0.501483514055974
2,"filtmonuments","intercept[4]",0.726842023196811
2,"filtmonuments","intercept[5]",0.701181977194315
2,"filtmonuments","intercept[6]",0.552924231765579
2,"filtmonuments","intercept[7]",0.748580660666883
2,"filtmonuments","intercept[8]",1.08319311888906
2,"filtmonuments","intercept[9]",0.81247543946074
2,"filtmonuments","intercept[10]",0.922627308590848
2,"filtmonuments","intercept[11]",0.991849952457614
2,"filtmonuments","intercept[12]",0.943514601320809
2,"filtmonuments","intercept[13]",0.79681672074352
2,"filtmonuments","intercept[14]",0.757702873814975
2,"filtmonuments","intercept[15]",0.981183339084851
2,"filtmonuments","intercept[16]",0.689877264702127
2,"filtmonuments","intercept[17]",0.764443426160021
2,"filtmonuments","intercept[18]",1.02726994009209
2,"filtmonuments","intercept[19]",0.825355453312364
2,"filtmonuments","intercept[20]",0.617067538533436
2,"filtmonuments","intercept[21]",0.787159067850114
2,"filtmonuments","intercept[22]",0.774900334477367
2,"filtmonuments","intercept[23]",0.885641888390413
2,"filtmonuments","intercept[24]",0.674114065636649
2,"filtmonuments","intercept[25]",0.756532232877653
2,"filtmonuments","intercept[26]",0.753689005529626
2,"filtmonuments","intercept[27]",0.818549488814542
2,"filtmonuments","intercept[28]",0.652937705372069
2,"filtmonuments","intercept[29]",1.1210256504158
2,"filtmonuments","intercept[30]",0.819913923519772
2,"filtmonuments","intercept[31]",0.926396944823839
2,"filtmonuments","intercept[32]",0.42234636226837
2,"filtmonuments","intercept[33]",0.852684730803375
2,"filtmonuments","intercept[34]",0.642028475021896
2,"filtmonuments","intercept[35]",1.07920559194748
2,"filtmonuments","intercept[36]",0.927022862561299
2,"filtmonuments","intercept[37]",1.03099628655286
2,"filtmonuments","intercept[38]",0.8461522467109
2,"filtmonuments","intercept[39]",0.825982521500753
2,"filtmonuments","intercept[40]",0.891057371547181
2,"filtmonuments","intercept[41]",1.13857294702168
2,"filtmonuments","intercept[42]",0.853710384669223
2,"filtmonuments","intercept[43]",0.937347988506341
2,"filtmonuments","intercept[44]",0.658738980355672
2,"filtmonuments","intercept[45]",1.03770762833642
2,"filtmonuments","intercept[46]",1.07164323922271
2,"filtmonuments","intercept[47]",0.763165566685078
2,"filtmonuments","intercept[48]",1.04745112956206
2,"filtmonuments","intercept[49]",0.859957397301929
2,"filtmonuments","intercept[50]",0.897067692580583
2,"filtmonuments","intercept[51]",0.891632792588169
2,"filtmonuments","intercept0",0.875056519790022
2,"filtmonuments","scaling[1]",-0.579037248299585
2,"filtmonuments","scaling[2]",-0.811052911277451
2,"filtmonuments","scaling[3]",-0.483426779048333
2,"filtmonuments","scaling[4]",-0.625328624855199
2,"filtmonuments","scaling[5]",-0.58736982493944
2,"filtmonuments","scaling[6]",-0.654533979843107
2,"filtmonuments","scaling[7]",-0.696896149867315
2,"filtmonuments","scaling[8]",-0.823546311003926
2,"filtmonuments","scaling[9]",-0.69407744095114
2,"filtmonuments","scaling[10]",-0.816264085761657
