"analysis","b0","b1","intercept","scaling","sigma","sigma_pop"
"allmonuments","-0.975045873093511","1.09338049160668","1.1912933552527","-1.24909189672354","1.64654301379978","-0.824786278996743"
"filtmonuments","-1.66972496961945","1.67125784092901","1.58557962133141","-1.55768781857601","2.30508017459528","0.269683885193768"
"temples","0.803943365046328","-0.742151135270981","-0.457018659711257","0.448293674788007","-0.652371771222455","1.12434627140337"
