"","lower","upper","mean","stdd"
"iter",5001,950251,502496,287233.2
"b0",-0.29,0.1,-0.1,0.1
"b1",-0.37,-0.03,-0.2,0.09
"intercept",-0.87,-0.6,-0.73,0.07
"scaling",0.17,0.22,0.2,0.01
"sigma_pop",0.01,0.01,0.01,0
