"","lower","upper","mean","stdd"
"b0",3.29,5.79,4.61,0.64
"b1",0.74,1.38,1.04,0.16
"intercept",-1.35,0.35,-0.47,0.44
"scaling",0.21,0.41,0.3,0.05
"sigma",0.52,0.63,0.58,0.03
"sigma_pop",0.47,0.94,0.69,0.12
