"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Australia","2020","Total","Both Sexes","Gold Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2022","650996","3"
"Australia","2020","Total","Both Sexes","Gold Coast-Tweed Heads","City proper","Estimate - de jure","Provisional figure","2022","733573","3"
"Australia","2020","Total","Both Sexes","Greater Adelaide","Urban agglomeration","Estimate - de jure","Provisional figure","2022","1376601","3"
"Australia","2020","Total","Both Sexes","Greater Brisbane","Urban agglomeration","Estimate - de jure","Provisional figure","2022","2560720","3"
"Australia","2020","Total","Both Sexes","Greater Darwin","Urban agglomeration","Estimate - de jure","Provisional figure","2022","147231","3"
"Australia","2020","Total","Both Sexes","Greater Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2022","238834","3"
"Australia","2020","Total","Both Sexes","Greater Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2022","5159211","3"
"Australia","2020","Total","Both Sexes","Greater Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2022","2125114","3"
"Australia","2020","Total","Both Sexes","Greater Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2022","5367206","3"
"Australia","2020","Total","Both Sexes","Hobart","City proper","Estimate - de jure","Provisional figure","2022","55250","3"
"Australia","2020","Total","Both Sexes","Hobart","Urban agglomeration","Estimate - de jure","Provisional figure","2022","219071","3"
"Australia","2020","Total","Both Sexes","Melbourne","City proper","Estimate - de jure","Provisional figure","2022","183756","3"
"Australia","2020","Total","Both Sexes","Melbourne","Urban agglomeration","Estimate - de jure","Provisional figure","2022","4969305","3"
"Australia","2020","Total","Both Sexes","Newcastle","City proper","Estimate - de jure","Provisional figure","2022","167363","3"
"Australia","2020","Total","Both Sexes","Newcastle","Urban agglomeration","Estimate - de jure","Provisional figure","2022","177049","3"
"Australia","2020","Total","Both Sexes","Newcastle-Maitland","City proper","Estimate - de jure","Provisional figure","2022","254758","3"
"Australia","2020","Total","Both Sexes","Newcastle-Maitland","Urban agglomeration","Estimate - de jure","Provisional figure","2022","498015","3"
"Australia","2020","Total","Both Sexes","Perth","City proper","Estimate - de jure","Provisional figure","2022","30971","3"
"Australia","2020","Total","Both Sexes","Perth","Urban agglomeration","Estimate - de jure","Provisional figure","2022","2083645","3"
"Australia","2020","Total","Both Sexes","Sunshine Coast","City proper","Estimate - de jure","Provisional figure","2022","336482","3"
"Australia","2020","Total","Both Sexes","Sunshine Coast","Urban agglomeration","Estimate - de jure","Provisional figure","2022","348343","3"
"Australia","2020","Total","Both Sexes","Sydney","City proper","Estimate - de jure","Provisional figure","2022","248736","3"
"Australia","2020","Total","Both Sexes","Sydney","Urban agglomeration","Estimate - de jure","Provisional figure","2022","4966806","3"
"Australia","2020","Total","Both Sexes","Toowoomba","City proper","Estimate - de jure","Provisional figure","2022","170356","3"
"Australia","2020","Total","Both Sexes","Townsville","City proper","Estimate - de jure","Provisional figure","2022","196800","3"
"Australia","2020","Total","Both Sexes","Wollongong","City proper","Estimate - de jure","Provisional figure","2022","219798","3"
"Belarus","2020","Total","Both Sexes","Baranovichi","City proper","Estimate - de jure","Final figure, complete","2020","175050",""
"Belarus","2020","Total","Both Sexes","Bobruisk","City proper","Estimate - de jure","Final figure, complete","2020","212217",""
"Belarus","2020","Total","Both Sexes","Borisov","City proper","Estimate - de jure","Final figure, complete","2020","140678",""
"Belarus","2020","Total","Both Sexes","Brest","City proper","Estimate - de jure","Final figure, complete","2020","339519",""
"Belarus","2020","Total","Both Sexes","Gomel","City proper","Estimate - de jure","Final figure, complete","2020","510243",""
"Belarus","2020","Total","Both Sexes","Grodno","City proper","Estimate - de jure","Final figure, complete","2020","356686",""
"Belarus","2020","Total","Both Sexes","Lida","City proper","Estimate - de jure","Final figure, complete","2020","102794",""
"Belarus","2020","Total","Both Sexes","MINSK","City proper","Estimate - de jure","Final figure, complete","2020","2020133",""
"Belarus","2020","Total","Both Sexes","Mogilev","City proper","Estimate - de jure","Final figure, complete","2020","357184",""
"Belarus","2020","Total","Both Sexes","Mozir","City proper","Estimate - de jure","Final figure, complete","2020","105690",""
"Belarus","2020","Total","Both Sexes","Novopolotsk","City proper","Estimate - de jure","Final figure, complete","2020","98808",""
"Belarus","2020","Total","Both Sexes","Orsha","City proper","Estimate - de jure","Final figure, complete","2020","107645",""
"Belarus","2020","Total","Both Sexes","Pinsk","City proper","Estimate - de jure","Final figure, complete","2020","126289",""
"Belarus","2020","Total","Both Sexes","Soligorsk","City proper","Estimate - de jure","Final figure, complete","2020","101525",""
"Belarus","2020","Total","Both Sexes","Vitebsk","City proper","Estimate - de jure","Final figure, complete","2020","364862",""
"Bulgaria","2020","Total","Both Sexes","Burgas","City proper","Estimate - de jure","Final figure, complete","2020","201779",""
"Bulgaria","2020","Total","Both Sexes","Pleven","City proper","Estimate - de jure","Final figure, complete","2020","95086",""
"Bulgaria","2020","Total","Both Sexes","Plovdiv","City proper","Estimate - de jure","Final figure, complete","2020","347851",""
