Filename,Analysis,Script Section,Type,Model
tplots_filtmonuments_nozero.png,Main,Third Analysis,Plot,filtmonuments_nozero
tplots_filtmonuments_nozero_provinces.pdf,Main,Third Analysis,Plot,filtmonuments_nozero
tplots_filtmonuments_nozero_provinces.png,Main,Third Analysis,Plot,filtmonuments_nozero
tplots_filtmonuments_provinces.pdf,Main,Third Analysis,Plot,filtmonuments
tplots_filtmonuments_provinces.png,Main,Third Analysis,Plot,filtmonuments
tplots_hnwi.pdf,Main,Fifth Analysis,Plot,hnwi
tplots_hnwi.png,Main,Fifth Analysis,Plot,hnwi
tplots_hnwi_linlog.pdf,Supplemental,Supplemental: Model Comparison,Plot,hnwi_linlog
tplots_hnwi_linlog.png,Supplemental,Supplemental: Model Comparison,Plot,hnwi_linlog
tplots_hnwi_sup.pdf,Supplemental,Supplemental: Outlier Effects,Plot,hnwi_sup
tplots_hnwi_sup.png,Supplemental,Supplemental: Outlier Effects,Plot,hnwi_sup
tplots_tallbuildings.pdf,Main,Sixth Analysis,Plot,tallbuildings
tplots_tallbuildings.png,Main,Sixth Analysis,Plot,tallbuildings
tplots_tallbuildings_linlog.pdf,Supplemental,Supplemental: Model Comparison,Plot,tallbuildings_linlog
tplots_tallbuildings_linlog.png,Supplemental,Supplemental: Model Comparison,Plot,tallbuildings_linlog
waic.csv,Supplemental,Supplemental: Model Comparison,Summary Table,all
waic_looic.csv,Supplemental,Supplemental: Model Comparison,Summary Table,all
